# pop0 	 pop1 	 pop2 	 pop3 	 pop4 	 pop5 	 pop6 	 pop7 	 pop8 	 pop9
9.662800295504835046e-02	8.457332984628387895e-02	8.803380638563922111e-02	7.827798871691997451e-02	8.438082822957110318e-02	1.538003865942583204e-01	2.439203140970516437e-01	8.210578676870156078e-02	1.288634591888516423e-01	1.856492764460735134e-01
2.668971171957067456e-01	1.688189037022749250e-01	1.340650860737066519e-01	1.109635092028251890e-01	1.850902190945639125e-01	2.367581152976912517e-01	4.444306208083582677e-01	2.181409025055970063e-01	3.531413993138748930e-01	5.361482580662110253e-01
7.157271524100259352e-01	2.997842776222989780e-01	3.173259533263442234e-01	3.037773361203095490e-01	4.569425497283586268e-01	5.046717450842284070e-01	6.682983549266215961e-01	3.209435047232245264e-01	5.673206017892711284e-01	6.856028256350483741e-01
7.966398045465669098e-01	5.864717364240488173e-01	6.222055669402456468e-01	5.425147275440209693e-01	6.197792970149311742e-01	8.439616515367724947e-01	8.693966565722039963e-01	6.328610971647843364e-01	7.299598921830067200e-01	8.801018486349099224e-01
8.897278481154528018e-01	8.381256200934662504e-01	6.657533287083895468e-01	8.081427359506327956e-01	9.011115509215882335e-01	8.970168170346166647e-01	8.955952052757458759e-01	6.563175464383020907e-01	8.520534972298616783e-01	8.551264681830793579e-01
8.811810373268258445e-01	8.912886224843675764e-01	8.880528837746095583e-01	8.867465565644137016e-01	8.161262745036209632e-01	7.406673844825605313e-01	8.149934686846715959e-01	8.745525852776859788e-01	8.995013133814803163e-01	8.573650934628004316e-01
8.260579914456606110e-01	6.983143610939065438e-01	8.512868677526618244e-01	7.703896808143952946e-01	8.051618841917537184e-01	4.560111736244197855e-01	4.565254731637686247e-01	8.454644539829564431e-01	8.072632234472076895e-01	6.075768262732937908e-01
2.820964095644712399e-01	6.495106286083034419e-01	6.456562898659725658e-01	7.311732852728747289e-01	5.444369229827455969e-01	2.439993457812280608e-01	2.139996872891571644e-01	6.922550863792845677e-01	3.821213234728969010e-01	2.318275376028375856e-01
3.345416242458862932e-01	2.807175361021930771e-01	3.377640004556129449e-01	3.303176488354257478e-01	1.257807590819042531e-01	1.108946020693234863e-01	9.516120235849709341e-02	4.685005095889337445e-01	1.949483968600907169e-01	1.739700099376474407e-01
1.517657918297675157e-01	1.652134636018139369e-01	2.973694742722070572e-01	1.368751985002530369e-01	1.125905514353617021e-01	1.547203491814832244e-01	2.465073905803601695e-01	1.775712407459494047e-01	1.334123435934577995e-01	1.273836772401282791e-01
1.099509758756465894e-01	1.538879024329445899e-01	1.152407843210607463e-01	1.168407718143498475e-01	1.197138912125330912e-01	2.061797188482429044e-01	4.113478397335360581e-01	1.166426375371118762e-01	2.258551316370159545e-01	3.566338084678870590e-01
